Sl.No.,Factor,Bengaluru Central,Ramanagara,Tumkuru,Kolara,Chikkaballapura,Mysore,Mandya,Chamarajanagar,Hassan,Chikkamagaluru,Mangaluru,Puttur,Davanagere,Shivamoga,Chitradurga,Kempegowda Bus Station,KSRTC
1,Physical performance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Schedules,582,425,578,507,521,947,422,460,526,499,509,478,345,318,278,NA,7395
3,(As on last day),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Fleet Held,725,491,614,538,576,1087,446,509,558,526,567,525,367,353,307,NA,8189
5,(As on last day),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Fleet Utilisation (%),73.6,86.4,88.9,90.8,89.2,86.2,94.1,93.1,94.6,96.6,87,89.2,95.3,90.3,90.6,NA,88.9
7,% off road  vehicles,5.8,4.5,4.5,5.3,4.1,4.2,3.5,2.1,4.4,2.3,4,3.6,3.2,3.9,5.6,NA,4.1
8,Schedule kms (in lakh),70.15,44.09,62.69,54.33,58.29,94.03,45.31,47.59,56.89,56.56,58.89,48.13,37.28,36.56,30.89,NA,801.68
9,Effective Kilometers (in lakh),73.05,42.04,58.29,53.45,57.02,95.08,44.59,48.51,56.5,56.79,57.47,47.05,37.7,36.56,30.02,NA,794.12
10,Vehicle Utilisation (in kms),453.6,330.3,355.3,364.6,371.3,337.5,354.1,341.2,358.9,372.7,388.4,329.1,359.1,382.4,364.5,NA,363.3
11,Gross kms (in lakh),75.14,43.26,60.2,55.21,59.44,97.84,46.04,49.97,59.08,58.91,58.48,48.04,39.3,39.02,31.29,NA,821.2
12,High speed diesel consumed (in lakh),17.52,8.68,11.65,10.79,11.2,21.64,9.16,9.78,12.02,11.58,13.2,10.17,7.62,7.99,6.02,NA,169.03
13,Kilometer Per liter (High speed diesel consumed),4.29,4.99,5.17,5.12,5.31,4.52,5.03,5.11,4.91,5.09,4.43,4.72,5.15,4.88,5.19,NA,4.86
14,No.of Break  downs,6,18,17,7,11,10,11,9,23,7,5,6,7,9,12,NA,158
15,Rate of Break down per 10000 km,0.01,0.04,0.03,0.01,0.02,0.01,0.02,0.02,0.04,0.01,0.01,0.01,0.02,0.02,0.04,NA,0.02
16,No. of Accidents,7,2,3,4,2,7,9,4,8,4,7,4,4,4,4,NA,73
17,Rate of Accdt per 100000 km,0.1,0.05,0.05,0.07,0.04,0.07,0.2,0.08,0.14,0.07,0.12,0.09,0.11,0.11,0.13,NA,0.09
18,Financial performance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,Traffic Revenue,3304.15,1390.63,1899.02,1575.27,1825.23,3561.95,1410.46,1704.36,1724.94,1738.8,2090.63,1619.26,1342.47,1193.12,961.68,18.13,27360.1
20,(Rs. in lakh),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,Other Revenue,291.34,56.06,107.36,82.34,148.27,85.8,47.47,84.77,127.95,81.54,114.32,58,84.22,49.49,59.2,113.1,1591.23
22,(Rs. in lakh),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,Gross Revenue,3595.49,1446.69,2006.38,1657.61,1973.5,3647.75,1457.93,1789.13,1852.89,1820.34,2204.95,1677.26,1426.69,1242.61,1020.88,131.23,28951.33
24,(Rs. in lakh),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,Cost of Operation,3981.91,1857.9,2435.89,2417.73,2256.36,4925.3,1876.19,1901.21,2634.92,2371.21,2627.93,2113.32,1661.4,1672.68,1226.07,158.04,36118.06
26,(Rs. in lakh),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,Margin  (Rs. in lakh),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,a. On traffic revenue,-677.76,-467.27,-536.87,-842.46,-431.13,-1363.35,-465.73,-196.85,-909.98,-632.41,-537.3,-494.06,-318.93,-479.56,-264.39,-139.91,-8757.96
29,b. on gross revenue,-386.42,-411.21,-429.51,-760.12,-282.86,-1277.55,-418.26,-112.08,-782.03,-550.87,-422.98,-436.06,-234.71,-430.07,-205.19,-26.81,-7166.73
30, Earnings Per Kilo Metre (in paise)    ,4523.4,3307.9,3257.7,2947.2,3201.1,3746.3,3163.2,3513.4,3053,3061.8,3637.8,3441.4,3560.9,3263.1,3203.2,NA,3445.3
31,(On traffic revenue),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32, Earnings Per Kilo Metre (in paise)    ,4922.3,3441.3,3441.9,3101.2,3461.2,3836.5,3269.6,3688.2,3279.5,3205.4,3836.7,3564.7,3784.3,3398.4,3400.4,NA,3645.7
33,(On Gross revenue),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,Cost per kilometer (in paise),5451.3,4419.4,4178.7,4523.3,3957.3,5180.2,4207.6,3919.2,4663.6,4175.4,4572.7,4491.4,4406.9,4574.6,4083.9,0,4548.2
